"Fecha","Ultimo","Apertura","Diferencia","Maximo","Minimo","Volumen"
05/12/11,"8705,8","8638,2","1,70%",8738,"8634,3",179729000
02/12/11,"8558,6","8506,2","1,60%","8624,5","8497,3",214198000
01/12/11,8421,8441,"-0,30%","8491,5","8369,5",176853000
30/11/11,"8449,5","8033,8","4,00%","8452,8","8017,8",332723000
29/11/11,8128,"8072,5","0,10%","8181,4","7989,7",167352000
28/11/11,"8119,9","7881,8","4,60%","8119,9","7858,1",225496000
25/11/11,"7763,5","7732,3","0,50%","7778,8","7601,2",141861000
24/11/11,"7721,8","7822,1","-0,20%","7877,1","7670,6",176746000
23/11/11,"7739,3","7848,1","-2,10%","7936,1","7739,3",192305000
22/11/11,"7904,9",8088,"-1,40%","8105,3","7892,6",190502000
21/11/11,8021,"8291,3","-3,50%","8303,2",8021,176206000
18/11/11,"8310,1","8224,6","0,50%","8361,8","8221,7",247998000
17/11/11,"8270,6","8272,4","-0,40%","8335,9","8200,3",190560000
16/11/11,"8304,1","8213,4","0,80%","8415,7","8213,3",173684000
15/11/11,"8237,6","8316,7","-1,60%","8333,2","8191,7",197888000
14/11/11,"8372,2","8615,8","-2,10%","8616,9","8341,5",154797000
11/11/11,"8556,1","8301,7","3,00%","8580,1","8263,2",192929000
10/11/11,"8310,9","8226,8","-0,40%","8464,5","8211,3",191501000
09/11/11,"8340,6","8609,3","-2,10%","8620,7",8251,227936000
08/11/11,"8518,5","8471,4","0,50%","8652,1","8466,9",162063000
07/11/11,"8476,4","8436,9","-1,40%","8595,9","8311,6",209084000
04/11/11,"8596,4","8800,9","-1,30%","8800,9","8514,6",209087000
03/11/11,"8712,6",8425,"1,60%","8789,7","8407,2",269539000
02/11/11,"8574,5","8667,8","-0,10%","8690,8",8436,206727000
01/11/11,"8579,6","8775,4","-4,20%","8775,4","8480,9",270047000
31/10/11,"8954,9","9127,4","-2,90%","9178,2","8954,9",190210000
28/10/11,"9224,4","9309,4","-0,50%",9351,"9158,8",268027000
27/10/11,"9270,5",9099,"5,00%","9305,1","9030,9",303581000
26/10/11,"8832,5","8873,8","-0,50%","8977,1","8787,7",184485000
25/10/11,"8879,6","8929,9","-0,90%","8971,1","8803,8",169945000
24/10/11,"8957,1","8924,9","1,20%","8976,3","8815,8",153223000
21/10/11,8853,"8663,5","2,80%","8891,8","8657,1",226385000
20/10/11,"8608,2","8740,1","-2,70%","8822,3","8573,9",236393000
19/10/11,"8849,5","8881,1","0,40%","8907,3","8800,5",189561000
18/10/11,"8811,3","8782,8","-0,60%","8831,2","8715,1",165342000
17/10/11,"8864,3","9032,5","-1,20%","9087,8","8825,3",177398000
14/10/11,"8975,5","8953,3","0,40%","9033,4","8840,9",178735000
13/10/11,"8943,5","8996,2","-0,90%","9073,2","8857,7",227865000
12/10/11,"9026,5","8784,8","2,00%","9029,9","8730,5",227639000
11/10/11,"8845,5","8858,8","-0,50%","8858,9","8732,2",191610000
10/10/11,"8892,4",8848,"1,10%","8894,4","8790,6",193051000
07/10/11,"8798,4","8728,8","1,10%","8849,9","8674,1",226775000
06/10/11,"8704,8","8510,4","2,70%","8704,8","8501,2",275941000
05/10/11,"8477,3","8404,2","3,10%","8477,3","8295,7",228970000
04/10/11,"8225,4","8267,8","-1,50%","8271,9","8065,1",268613000
03/10/11,"8353,8","8346,6","-2,30%","8394,4","8288,8",178801000
30/09/11,"8546,6","8555,2","-0,50%","8592,6","8427,3",191595000
29/09/11,"8592,5","8424,5","1,30%","8653,9","8420,3",230920000
28/09/11,"8480,2","8409,1","-0,60%","8626,5","8364,9",212410000
27/09/11,"8531,9","8380,7","4,00%","8562,1","8333,5",278759000
26/09/11,"8201,7","7846,4","2,60%","8312,7","7842,7",259222000
23/09/11,"7996,9","7945,8","2,10%","7998,9","7639,6",272080000
